시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,990,학습,,과제/Noun,"성공/Noun, 구진/Noun, 연구/Noun, 접근/Noun, 같이/Adverb","0.08167959, 0.71396184, 1.06852663, -0.26126006, 0.19799607, -0.84869444, 0.22854568, 0.56326175, -0.2279236, -0.20881566, 0.19884749, -0.20825699, 0.38426331, -0.53664392, -0.07659612, -0.02354416, 0.59935427, 0.40761614, 0.17435229, 0.27403775, 0.60438389, -0.40464664, 0.11917008, 0.12091864, 0.18386468, 0.20361765, 0.38240883, -0.03050377, -0.04801839, 0.0923831, 0.09124096, 0.06961707, -1.02853644, -0.23642728, -0.02353314, 0.57920337, 0.96118289, -0.49594268, 0.26050693, 0.0348264, 0.6306724, -0.15608224, 0.46216053, 0.43242192, 0.89096254, 0.5823983, -0.00690448, -0.71161437, -0.38358748, -0.23780665"
O,990,학습 + 추가학습,3 대 7,과제/Noun,"구진/Noun, 성공/Noun, 구결/Noun, 결과물/Noun, 한편/Noun","-0.44387558, -0.49286219, 0.35221586, 0.29238257, 0.00248612, 0.11836033, -0.22599339, 0.83588183, -0.4032613, 0.1436675, 0.3290371, -0.95167345, 0.11268744, 0.29327247, 0.00959324, 0.13097237, 0.51763803, -0.43595845, -0.79251462, 0.06666377, -0.14726916, -0.01037808, 1.33779705, -0.07808694, -0.03765538, -0.00945793, -0.11408477, -0.0212025, -0.00680926, -0.57205486, -0.13513306, 0.00278266, -0.32120112, -0.17349043, -0.85710508, 0.67424196, 0.86127633, -0.12208038, -0.03587545, 0.67247891, 0.48981205, 0.17730643, -0.16129103, -0.39027062, 1.11086738, 0.05434635, 0.12111634, -0.79182333, 0.04167924, -0.09878292"
O,990,학습 + 추가학습,4 대 6,과제/Noun,"성공/Noun, 구진/Noun, 이다/Adjective, 접근/Noun, 것임/Noun","-0.86238909, 0.75874257, -0.13983241, -0.08221757, 0.1442169, -1.05244672, 0.26298949, 1.39695787, -0.36887464, -0.1443876, -0.06059128, -0.15958016, -0.05207014, 0.04765585, 0.05679405, -0.28478014, 0.08850561, 0.33247006, -0.51967841, -0.45313251, 0.24102433, 0.02485884, 0.51335371, -0.36860651, 0.12800771, 0.24482663, -0.64970881, 0.75878114, -0.05071596, 0.16475354, 0.36601612, -0.45141336, -0.36892152, 0.098008, -0.11711682, 0.69394863, 0.48163974, -0.54571939, -0.06724955, 0.56765091, 0.35213029, 0.24395317, -0.41403869, -0.48363808, 0.38043445, 0.25760823, 0.2071559, -0.88954431, 0.13356864, -0.04157556"
O,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,과제/Noun,"구진/Noun, 자하/Noun, 긴밀하다/Adjective, 성공/Noun, 보다/Verb","-0.60652745, 0.16212595, -0.00955772, -0.24353753, 0.49109274, -0.6822412, -0.15991032, 1.62439525, 0.01555074, 0.32833889, 0.24772897, 0.32488716, 0.48001805, 0.38909876, 0.29742533, 0.05770922, 0.23485249, 0.23453827, -1.03411841, -0.01194574, 0.51082134, 0.15055743, 1.2782563, -0.46858558, 0.15300198, 0.38824162, 0.6360538, 0.20686144, -0.74851286, -0.30815324, -0.22393127, -0.02922449, -0.08094237, -0.50930202, -0.68547922, 0.64457136, 0.40748197, -0.280848, -0.41051307, -0.17155078, 0.43445608, -0.83674872, -0.31994021, 0.32407823, 0.9115634, 0.74549055, 0.11536933, -0.83989173, 0.22528577, 0.51584017"
O,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,과제/Noun,"구진/Noun, 따라서/Noun, 종료/Noun, 성공/Noun, 구결/Noun","-0.77768064, 0.07710189, 0.2066578, -0.12937069, 0.51576263, -0.9065727, 0.21373658, 1.32893956, -0.18347554, 0.2122508, 0.11459694, -0.02367104, 0.25149083, 0.07658727, 0.35430992, -0.15821579, 0.37134469, -0.04563977, -1.14310288, 0.01012659, 0.65321839, 0.1325534, 0.97405118, -0.43689781, 0.00169596, 0.50216573, 0.17099164, 0.02155375, -0.84578723, -0.28166205, -0.42625099, -0.14019261, -0.15856765, -0.34157294, -0.51596713, 0.72591019, 0.55766469, -0.06967644, -0.25428942, -0.38061622, 0.50812048, -0.67416871, -0.43858191, 0.07270567, 0.71446943, 0.55226666, 0.21187139, -0.54150283, -0.17307448, 0.30285999"
O,990,학습 + 추가학습,5 대 5,과제/Noun,"성공/Noun, 구진/Noun, 접근/Noun, 구결/Noun, 연구개발/Noun","-0.73100311, -0.01452693, 0.22081789, -0.14133389, 0.51350152, -0.9114514, 0.20560735, 1.43232095, 0.07766704, 0.237903, 0.23893629, 0.06820651, 0.18929183, -0.01293912, 0.30974689, -0.0754532, 0.16397589, -0.06874143, -0.9624716, -0.14594322, 0.40953597, 0.16129951, 0.80244964, -0.26710001, 0.32353726, 0.57059836, 0.26830029, 0.11761969, -0.71384788, -0.26567331, -0.44077501, -0.30210155, 0.04703175, -0.54446697, -0.77197891, 0.86039579, 0.43183377, -0.31703463, -0.2450643, -0.29084697, 0.46719152, -0.7341361, -0.43732038, 0.15655354, 0.80148631, 0.68137896, -0.0820453, -0.69119841, -0.10069636, 0.4914484"
O,990,학습 + 추가학습,6 대 4,과제/Noun,"성공/Noun, 구진/Noun, 구결/Noun, 연구/Noun, 실정/Noun","0.32788253, -0.22313035, 0.12297779, -0.76250696, -0.55346042, -0.29339066, 0.73364091, 0.40677518, -0.92488247, 0.2365665, 0.33919278, -1.11089098, 0.32977355, 0.88345397, -0.51034462, 0.80336213, 0.04522304, 0.16616166, -0.50991189, -0.62384784, 0.36120003, -0.28556216, 1.04352927, -0.36130911, 0.36809215, 0.16189332, 0.88426965, 0.05188062, -0.33543873, 0.21055113, -0.27134711, -0.6230154, -0.75544763, -0.78868729, 0.06075643, 0.78558648, -0.43409923, -0.08132251, -0.13870595, -0.57074058, 0.21710302, 0.24481598, 0.34582415, -0.21783431, 0.24712853, 0.32086128, 0.09466606, -0.00232516, 0.16004217, -0.08086272"
O,990,학습 + 추가학습,7 대 3,과제/Noun,"성공/Noun, 구진/Noun, 후속/Noun, 연구자/Noun, 종료/Noun","-0.11220009, 0.21008743, 0.45417354, -0.38388154, 0.45114359, -0.13831501, 0.83864683, 0.86739856, -0.45548418, -0.18747559, 0.14351711, 0.22061847, 0.56305802, 0.55905485, -0.46916169, -0.02585031, 0.26933107, 0.65905273, -0.42407671, -0.6389721, 0.50108266, 0.59732115, 0.45403811, -0.48660946, 0.94857949, -0.08405908, 0.70174122, 0.46588531, -0.68554968, -0.15085477, -0.69913989, 0.18629758, -0.26676348, -0.02447117, 0.02370076, 0.52873582, -0.66992456, -0.08219256, 0.84364915, -0.56537843, 0.55081415, -0.03737357, 0.46120954, -0.00728285, 0.43488932, 0.14915301, -0.39742726, -0.23502061, 0.23598093, 0.1521904"
O,3320,학습,,과제/Noun,"결과물/Noun, 보다/Verb, 연구개발/Noun, 연구/Noun, 성공/Noun","0.0196596, -0.06123065, -0.76301891, -0.32019189, -0.16110271, -1.20495737, 0.11707605, 0.01325437, -0.1303557, -0.57723874, -0.27458474, -0.70091474, 0.43960482, 0.19287024, -0.66229856, 0.52741992, 0.06569286, 0.18505445, -1.22892928, -0.03478841, 0.26149744, -0.31113216, 0.58473366, 0.07507318, 0.63757819, 0.44522503, 0.27352482, -0.02983464, 0.20314215, -0.36461684, -0.36041844, -0.2495607, -0.09574725, 0.18762314, 0.31284091, -0.09615815, 0.19068745, 0.38189748, 0.00937054, 0.38492334, 0.33662254, 0.09816135, 0.20280713, -0.28618693, 0.68888062, 0.38701418, 0.44559211, -0.29388532, -0.44979373, 0.11994733"
O,3320,학습 + 추가학습,3 대 7,과제/Noun,"보다/Verb, 결과물/Noun, 연구개발/Noun, 연구/Noun, 성실하다/Adjective","0.02043843, -0.05744073, 0.01642152, -0.16710849, -0.47235447, -0.64911431, 0.14569478, 0.53526056, -0.55530393, -0.54575479, 0.73674721, -0.01252129, 0.10683383, -0.23877819, -0.37216163, 0.60229516, 0.50616986, -0.68604785, -0.42188853, 0.51030415, 0.42743084, 0.57855248, 0.54690868, -0.45413837, 0.50403452, 0.57897186, -0.10193199, 0.22142453, -1.02122474, 0.28950509, 0.02890749, -0.28922433, 0.39329696, -0.1753241, -0.14429152, -0.22734192, 0.31729493, -0.29181638, 0.05194058, -0.12492555, 0.9134692, 0.25371903, 0.1253868, 0.11640925, -0.27957952, 0.44220656, -0.46447417, -0.40011519, 0.0882983, -0.20169081"
