시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,990,학습,,정부/Noun,"전세계/Noun, 의무/Noun, 문제해결/Noun, 부문/Noun, 창조/Noun","0.11061142, -0.09131153, 0.6079706, -0.53534353, -0.24700923, -0.47393131, 0.56530839, 0.48617765, -0.73351687, -0.03946562, 0.33627889, -0.16837825, 0.35325, 0.0262788, -0.68420631, 0.27575976, 0.67237735, 0.6147486, -0.74579525, -0.38162842, 0.28037077, -0.07195982, -0.04063598, -0.02523062, 0.44459486, 0.0164483, 0.41504836, -0.46145082, -0.29869711, -0.12034811, 0.48155147, 0.22643287, -0.28708103, -0.35558975, 0.30285087, 0.43899646, 0.40436283, -0.27307349, 0.37146267, -0.028722, 0.64054579, -0.12244743, 0.41424379, 0.65629214, 0.48119092, -0.38101554, -0.29604411, -0.43021125, 0.00575834, 0.11907079"
O,990,학습 + 추가학습,3 대 7,정부/Noun,"대다/Verb, 나국/Noun, 주도하다/Adjective, 전세계/Noun, 감실/Noun","0.12663572, -0.33288679, 0.70405108, 0.23322023, -0.27047458, 0.08164234, 0.58192867, 0.69920248, 0.15739752, -0.56638336, 0.46862826, -0.94349289, 0.460096, -0.05217396, 0.55617762, 0.21125425, -0.03655444, -0.25453594, -0.33832568, -0.52340901, -0.16734697, -0.10228143, 0.60071909, -0.50837445, -0.25233689, -0.28912431, -0.09250057, -0.4477559, -0.28588334, -0.35396516, -0.44681489, 0.12687002, -0.24537732, 0.23880556, -0.71309763, 0.38071674, 0.15408489, -0.05308226, 0.61918604, 0.15734531, 1.12003195, -0.41782451, 0.1569427, -0.00012692, 0.78882718, -0.30718541, 0.09381046, -0.34716904, -0.09378735, -0.02421306"
O,990,학습 + 추가학습,4 대 6,정부/Noun,"나국/Noun, 관심/Noun, 의무/Noun, 도래/Noun, 주도하다/Adjective","-0.11826372, 0.22470236, -0.11384831, -0.15862815, -0.39581132, -0.85367227, 0.60317832, 0.48846751, -0.35825026, -0.63173151, -0.00163559, 0.10166981, 0.35313442, 0.16053121, 0.35546288, -0.07159292, 0.25229743, -0.22903101, -0.29546809, -0.97452188, 0.09223167, 0.55373776, 0.165249, -0.7938869, 0.20651983, 0.67096341, -0.85299039, -0.21743619, -0.18443047, 0.29456195, 0.78326702, 0.2227802, -0.02132065, -0.21293372, -0.15674868, 0.39842913, -0.354765, -0.28806308, 0.22525632, 0.03651116, -0.18568487, 0.63880539, -0.4405379, 0.07879703, 0.72746313, -0.30149958, 0.30262533, -0.38980457, 0.70992965, 0.08740334"
O,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,정부/Noun,"파생/Noun, 거래/Noun, 수소차/Noun, 부응/Noun, 이행/Noun","0.5957216, 0.07755187, 0.35965163, -0.19058375, 0.64822406, -1.2573036, 0.63000894, 0.52513069, 0.24584593, -0.00984968, -0.29091656, -0.0769056, 0.78439116, -0.32851633, -0.6447978, 0.86687964, -0.48887825, 0.26889986, -1.03955698, -0.32372385, -0.2470185, 0.10662057, 0.99660099, -0.49826741, -0.33896941, 0.54286331, 0.18521434, 0.20266315, -0.75153846, -0.0340833, -0.23518771, -0.26334971, 0.02418965, -0.34443194, -0.1256751, 1.53001893, 0.08517199, -0.12763487, 0.03950546, -0.2298591, 0.3640562, -0.73967797, -0.72601062, 0.22998138, 0.30349126, 0.30298612, -0.58483273, 0.31465194, -0.07278589, -0.52682501"
O,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,정부/Noun,"이행/Noun, 전세계/Noun, 수소차/Noun, 감실/Noun, 부응/Noun","0.58897054, -0.10635214, 0.19220388, -0.19655733, 0.56269437, -1.05276918, 0.49087465, 0.77628213, -0.28854388, 0.06966906, -0.47502819, -0.12522654, 0.67350465, -0.27547216, -0.45108265, 0.76923382, -0.3686839, 0.20352119, -0.71653181, -0.41428837, -0.01747135, 0.18596846, 0.85365212, -0.38410181, -0.0878138, 0.44799471, 0.23698208, 0.15504903, -0.69907367, -0.12137257, -0.0700969, -0.08322624, 0.23800954, -0.28603968, -0.03736633, 1.2353518, 0.13833453, -0.13343032, 0.39176339, -0.25356156, 0.16509759, -0.52986586, -0.72176826, 0.15186024, 0.51051444, 0.19750734, -0.63520783, 0.33781272, 0.20949973, -0.41016018"
O,990,학습 + 추가학습,5 대 5,정부/Noun,"커지다/Verb, 벼논/Noun, 거래/Noun, 축산물/Noun, 노력/Noun","0.6131404, -0.09707858, 0.19722481, -0.23130399, 0.5259341, -0.91011292, 0.49373272, 0.68369466, -0.12039042, 0.11988782, -0.36478761, -0.19590156, 0.61890388, -0.2454164, -0.42325845, 0.67759073, -0.29741549, 0.11325669, -0.80969816, -0.37213597, -0.08993186, 0.25425416, 0.72673821, -0.2679117, -0.13524355, 0.51742488, 0.31874752, 0.11513762, -0.71569043, -0.01598681, -0.15061879, 0.03157791, 0.25387794, -0.33561108, -0.00064245, 1.07288885, 0.11970685, -0.14690468, 0.29683319, -0.28893864, 0.06159224, -0.45989808, -0.56129128, 0.2233054, 0.47095436, 0.14422508, -0.60163373, 0.35226411, 0.14588907, -0.30992255"
O,990,학습 + 추가학습,6 대 4,정부/Noun,"인재/Noun, 위상/Noun, 감함/Noun, 리더/Noun, 외국/Noun","0.16453856, -0.12753661, 0.29152063, -0.23879884, -0.31789911, 0.16458605, 0.46696061, 0.58874291, -0.17087942, 0.12149238, 0.28939849, -1.1617614, -0.19059053, 0.47462109, -0.06487887, -0.00897904, -0.14689876, -0.20736738, -0.23007211, -0.7379396, -0.13791366, -0.22155337, 0.92850077, -0.36706838, -0.12048943, -0.11369432, 0.05401968, 0.01661234, 0.23557727, 0.19366623, 0.19844703, 0.18924195, -0.35918126, -0.74324465, -0.12499248, 0.64609134, 0.1237605, -0.1747456, -1.11573482, -0.31454098, 0.04181495, 0.44399241, -0.14540295, 0.10030666, 0.41032907, 0.08104754, 0.018323, -0.29056677, -0.4257839, 0.54841518"
O,990,학습 + 추가학습,7 대 3,정부/Noun,"부합/Noun, 인재/Noun, 문제해결/Noun, 위상/Noun, 전세계/Noun","-0.03891702, 0.10273422, 0.81490725, 0.00798553, 0.25661561, 0.06450811, 0.84886533, 1.02688706, -0.65247232, 0.24957934, -0.39090744, 0.19158818, 0.38536373, 0.97345644, -0.31845808, -0.23334368, -0.33075127, -0.11429594, -0.59474385, -0.54142678, 0.13032891, 0.66544664, 0.13455975, -0.20136951, 0.54806066, -0.33189541, 0.52928895, -0.07686608, -0.2213158, -0.43339166, 0.13094708, 0.08675826, -0.06608772, 0.01596279, 0.31207594, -0.19170521, -0.00764285, 0.09093568, 0.32953727, -0.50071353, 0.61689621, 0.11993155, -0.26599959, 0.01211397, 0.61137271, -0.27274778, -0.02785175, -0.58573627, 0.29079318, 0.21411031"
O,3320,학습,,정부/Noun,"기조/Noun, 한국판/Noun, 시책/Noun, 정책/Noun, 국가/Noun","-0.76005012, -0.88002855, -0.03700713, -0.0382383, 0.16323289, -0.93792629, 0.79096603, 0.24398629, -0.18168849, 0.32635495, 0.65060818, 0.05654232, -0.23908477, 0.41156349, -0.94543898, 0.49158797, 0.2809251, -0.46888626, -1.19330966, 0.74903131, 0.17154865, 0.43396664, 0.73659486, 0.01188483, 0.41549274, 0.27855128, 0.16771913, 1.18635273, -0.05337059, 0.28239986, 0.23352818, 0.22469625, 0.09825937, -0.03573709, -0.09257331, -0.04031759, -0.12956263, 0.55208904, 1.35377598, 0.02891924, 0.75031906, -0.55975926, 0.41551936, 0.19742849, 0.52860183, 0.91672581, 0.43487847, -0.30474937, 0.11870162, 0.03202083"
O,3320,학습 + 추가학습,3 대 7,정부/Noun,"도지원/Noun, 한국판/Noun, 재원/Noun, 에너지정책/Noun, 정책/Noun","0.19786128, 0.07117772, 0.66945159, 0.41997507, 0.05244135, -0.74715459, -0.45066077, 0.1170159, -0.26230547, -0.00862531, 0.48759529, -0.22511114, -0.89957494, -0.0743001, -0.71103001, 0.71064317, 0.99969798, -0.2789807, -0.20234539, -0.02244006, -0.58742863, 0.384431, 0.77506268, -1.45805264, 0.41889417, 0.97057635, -0.55660421, 0.41026372, -0.43465844, -0.72833252, 0.65159941, -0.16633816, -0.13834296, 0.28269678, -0.15073404, 0.35229769, -0.46726519, 0.23812179, 0.73682821, -0.50009066, 0.24850467, 0.28444007, -0.28348482, -0.27092776, -0.04386017, 0.52642846, -0.2863602, -0.19832969, 0.52301228, -0.08173797"
