시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,990,학습,,정책/Noun,"보전/Noun, 국토/Noun, 부합/Noun, 거래/Noun, 적극/Noun","0.00292587, -0.03620767, 1.04818809, -0.36293048, -0.43585423, -0.62216938, 0.3022328, 0.45933151, -0.75359845, -0.49993262, 0.4500438, -0.35540432, 0.19873708, 0.10810826, -0.54704344, 0.13507171, 0.30091596, 0.46685714, -1.38918173, -0.37469375, 0.54200381, 0.00027543, 0.37032166, -0.31327078, 0.27761737, 0.41242152, 0.35716349, -0.68348527, -0.73552239, -0.25749072, 0.63408804, 0.15560055, -0.48577273, -0.70983833, 0.09446708, 0.04122522, 0.81186301, -0.34488079, 0.1806367, 0.66308028, 0.89920121, 0.27994424, 0.21360293, 0.79006618, 0.64262074, -0.25962862, 0.109295, -0.04725089, 0.21227202, -0.08862963"
O,990,학습 + 추가학습,3 대 7,정책/Noun,"보전/Noun, 정부/Noun, 대책/Noun, 부합/Noun, 축산물/Noun","0.32180342, -0.57834762, 0.6268543, 0.02029884, -0.24804482, -0.60743326, 0.5676524, 1.18124938, -0.19377936, -0.92344385, 0.37770841, -0.97827739, 0.31891441, -0.14988597, 0.24259646, 0.27085903, 0.23547447, -0.359905, -0.17718497, -0.33806017, -0.07540413, 0.16315255, 0.418504, -0.25985843, 0.0130107, -0.4667412, 0.34508309, -0.59643006, -0.69961858, 0.06806582, -0.76078957, 0.1370942, -0.58343804, -0.11541285, -0.26417211, 0.78257167, -0.17967986, 0.13390335, 0.88759786, 0.41771042, 1.47841275, -0.12022239, 0.5888536, -0.15477112, 0.81866884, -0.01251376, 0.45586425, -0.49968222, -0.02671564, -0.16532344"
O,990,학습 + 추가학습,4 대 6,정책/Noun,"보전/Noun, 정부/Noun, 부합/Noun, 이행/Noun, 대책/Noun","-0.22375168, 0.26025996, -0.3423281, -0.07984088, -0.84240478, -1.11001265, 0.260214, 0.62031853, -0.81609619, -0.78859681, -0.11465675, 0.07848085, 0.03973317, -0.11889623, 0.49643564, 0.24021904, -0.27373523, 0.00577058, -0.10975851, -0.9926247, 0.63116115, 0.93574417, 0.05237934, -0.44729397, 0.42305574, 0.65274107, -0.81532109, 0.05158982, -0.73975164, 0.41347346, 0.39471993, -0.31545573, 0.12968373, -0.44436324, -0.57864827, 0.7974152, 0.06843316, -0.6798563, 0.42322177, -0.26282543, -0.4721505, 0.83881944, -0.79245746, 0.33372164, 0.65189993, -0.27946851, 0.41933972, -0.41854608, 0.9533872, -0.24816558"
O,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,정책/Noun,"정부/Noun, 보전/Noun, 거래/Noun, 부응/Noun, 발언권/Noun","0.93045324, -0.3098256, 0.8022306, -0.63374996, 0.27323967, -1.56557202, 0.52802324, 1.12200642, 0.03547423, -0.35501873, -0.33897647, -0.06643137, 0.39482561, -0.48602587, -1.16928017, 0.62453735, -0.33059549, 0.87360883, -1.11218703, 0.19198085, -0.07956868, 0.44070914, 0.23119015, -0.91184044, 0.41636178, 0.59397691, 0.17890094, -0.11434082, -0.62306792, 0.30867794, 0.05817115, -0.3989813, 0.60541403, -0.41688263, 0.470395, 1.39452004, 0.60504532, 0.44364896, -0.02521687, -1.07367635, 0.58496755, 0.39451623, -0.67799973, -0.10911711, -0.05892044, 0.38241318, -0.44595772, 0.1885232, 0.27118471, -0.55200368"
O,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,정책/Noun,"보전/Noun, 정부/Noun, 부문/Noun, 대책/Noun, 축산물/Noun","0.87917346, -0.10480858, 0.9767409, -0.44308761, -0.01311526, -1.41648126, 0.42980811, 1.03077102, -0.15266635, -0.14653642, -0.272403, -0.17363869, 0.59729671, -0.54872662, -0.69755071, 0.3455357, -0.66016948, 0.74807155, -1.018332, 0.04017284, -0.00225266, 0.2833856, 0.31166241, -0.57981616, 0.26948604, 0.63106829, 0.12440158, 0.10618848, -0.69337845, 0.20551063, -0.0480893, -0.21418498, 0.22385219, -0.49057469, -0.0225004, 1.36780763, 0.46968135, 0.50565082, 0.23190622, -0.97744858, 0.79089969, 0.12136363, -0.89060509, 0.03134394, 0.04461039, 0.47260797, -0.61142725, 0.04719762, 0.36778122, -0.49486262"
O,990,학습 + 추가학습,5 대 5,정책/Noun,"보전/Noun, 정부/Noun, 축산물/Noun, 부합/Noun, 국토/Noun","0.77927101, -0.09488918, 0.9153046, -0.44708464, 0.04917274, -1.14178979, 0.40515667, 0.97310877, -0.27369872, -0.21454635, -0.30851841, -0.13988103, 0.41364336, -0.48329028, -0.65321475, 0.57693249, -0.71852899, 0.76912743, -0.96113962, 0.06100307, -0.09130289, 0.26013452, 0.35290062, -0.45849809, 0.16456567, 0.49723569, 0.18602256, 0.22569628, -0.79946333, 0.27270338, -0.16323994, -0.05615186, 0.52600414, -0.54999071, -0.10899776, 1.38719606, 0.19946593, 0.45858881, 0.12846343, -0.9856841, 0.68361998, 0.11545631, -0.90312195, -0.00026069, -0.02437207, 0.32701287, -0.59110147, 0.10905988, 0.48059201, -0.38653493"
O,990,학습 + 추가학습,6 대 4,정책/Noun,"국토/Noun, 부합/Noun, 정부/Noun, 적극/Noun, 위상/Noun","0.06420176, -0.40842968, 0.31228438, 0.00441975, -0.33457223, -0.23924451, 0.35477275, 0.63990968, -0.35091314, -0.17747261, 0.55066788, -1.49684942, 0.22740024, 0.97233009, -0.33189121, 0.35193717, -0.16771717, -0.33796889, -0.44454718, -0.90793407, 0.09653163, -0.25075617, 0.54151112, -0.12973849, 0.50969511, -0.25965205, -0.27946189, -0.42222363, 0.19347267, -0.23498729, 0.22198884, 0.4649331, -0.22593312, -1.74732482, -0.16278623, 0.48401558, -0.11488938, 0.18611522, -1.02409542, -0.56947148, 0.1134057, 0.05898472, -0.14642912, 0.15550348, 0.470842, 0.2681883, -0.06295493, -0.45506766, -0.41804421, 0.77853018"
O,990,학습 + 추가학습,7 대 3,정책/Noun,"국토/Noun, 위상/Noun, 정부/Noun, 부합/Noun, 이행/Noun","0.55701023, 0.14304961, 0.77914095, 0.4186089, 0.31368643, -0.05097442, 1.37548649, 1.18567085, -0.65750039, -0.0471096, -0.13408563, 0.40226343, 0.50747442, 0.83921617, -0.0299798, -0.07142469, -0.47679397, -0.24903828, -0.96951658, -0.72873473, 0.00297409, 0.61936444, 0.35484773, -0.25257644, 1.05106461, -0.6931231, 0.83278358, 0.04588367, -0.16660304, -0.46351862, 0.05275292, 0.27323386, 0.33825013, -0.09063806, 0.1301579, 0.09042256, -0.03898278, 0.36515132, 0.11251, -0.18240061, 0.82326597, -0.04814078, -0.55229104, 0.18565536, 0.50708497, 0.12393973, 0.04575051, -0.45260584, 0.58490646, 0.30389446"
O,3320,학습,,정책/Noun,"중립성/Noun, 배출권거래제/Noun, 법제/Noun, 제언/Noun, 녹색교통/Noun","-0.61474389, -0.21839218, 0.02204548, -0.24925722, -0.41773406, -0.17009279, 0.18372618, 0.33547083, 0.42131427, -0.0036328, 0.93182838, -0.10309868, 0.17460977, 0.28515151, -0.69840819, 0.60908055, 0.05158617, -0.07352646, -1.41415715, 0.03449884, 0.71230865, -0.11995755, 1.41267884, 0.03145671, 0.62403119, -0.10736056, 0.31349826, 0.88089657, -0.07604359, 0.21950968, 0.03632765, 0.11514966, 0.36717427, -0.39841869, 0.19019955, -0.22333892, -0.31449547, 0.25767434, 1.18291569, 0.61351019, 0.1790335, -0.21079296, 0.11407775, 0.33074194, 0.51375479, 0.34683853, 0.51019752, -0.92814791, 0.41378435, 0.1620196"
O,3320,학습 + 추가학습,3 대 7,정책/Noun,"로드맵/Noun, 제언/Noun, 직불제/Noun, 시책/Noun, 중립성/Noun","-0.07752977, 0.22281243, 0.11673042, 0.64143956, -0.2655246, -0.0069069, -0.29037502, 0.23745261, -0.87467903, -0.51288837, 0.50892848, -0.10284999, -0.61612302, -0.13125014, -0.50510556, 0.637483, 0.80379039, -0.21417531, -0.19533397, 0.01979691, 0.16555563, -0.14021021, 0.80503297, -0.92419058, 0.25126371, 1.33394349, -0.49357229, 0.71447903, -0.26199141, -0.71701324, 0.27630705, -0.00120588, -0.2070744, 0.33256361, 0.2220339, 0.15373586, 0.77504706, 0.20669238, 1.16389644, -0.48607472, 0.17662954, 0.27721509, -0.87909085, 0.04184665, 0.02023791, 0.61884713, 0.16632487, 0.24232346, 0.72893828, -0.09908316"
O,3320,학습 + 추가학습,4 대 6,정책/Noun,"제언/Noun, 중립성/Noun, 입안/Noun, 배출권거래제/Noun, 로드맵/Noun","0.20401913, 0.13350473, -0.00641591, -0.60354328, 0.20704156, -0.44997969, 0.55037022, 1.06708694, -0.29094082, -1.03550327, -0.53535903, -1.25423717, 0.12364912, 0.36134931, -0.4030301, -0.95230812, 0.10504151, 1.02949703, -0.46335888, -0.84472948, -0.52003205, -0.16701624, 0.44801867, 0.09422158, -0.13453643, -0.25587445, -0.56015307, 0.13986441, 0.11724021, 0.47478193, -0.49458787, 0.0611846, 0.12181621, 0.41834274, -0.00810599, 0.67619544, 0.5227986, -0.26815298, 0.12349108, 0.20800616, 0.80870688, 0.04344719, -0.21205366, -0.56182092, 0.79395568, 0.67292523, 0.07608062, 0.61002326, -0.27095661, -0.45843503"
O,3320,학습 + 추가학습 + 추가학습,5 대 2 대 3,정책/Noun,"제언/Noun, 한국판/Noun, 정부/Noun, 직불제/Noun, 입안/Noun","0.14787069, 0.16924445, -0.28559232, 0.50032079, 0.19471738, -0.02376824, -0.20398317, 0.98052692, -0.75263613, -0.3088533, 0.26870412, -1.20291471, -0.06643032, 0.84799731, -0.21678852, -0.13696007, -0.30672762, 0.04712375, -0.64613509, -0.33936909, 0.04426296, -0.722121, 0.82152063, 0.0276058, 0.71453142, -0.481693, -0.51305193, 0.98850608, -0.09365321, 0.51572514, 0.82518405, 0.27028629, 0.81010604, 0.03779632, -0.47649449, 0.51143277, -0.21838713, 0.77566516, -0.19029005, -0.47909245, 0.16035208, 0.15917341, -0.28023875, -0.05703017, -0.00910876, 0.34699368, 0.41261345, -0.32555366, 0.30176878, -0.98397851"
O,3320,학습 + 추가학습 + 추가학습,5 대 3 대 2,정책/Noun,"배출권거래제/Noun, 제언/Noun, 이행/Noun, 정신건강/Noun, 직불제/Noun","0.572837, 0.32653064, -0.710325, 0.57834929, 0.35414711, -0.26557401, 0.21022114, 1.13901496, -0.81838614, -0.37590873, 0.22567612, -1.3928988, 0.24487481, 0.81812084, -0.40246856, -0.19884995, -0.55393451, 0.0566825, -0.63093549, -0.33595955, -0.03939309, -0.76876783, 1.14826298, -0.07452866, 0.63547736, -0.58821356, -0.77949452, 0.7636373, 0.26372042, 0.64041644, 0.98783606, 0.23956089, 0.47520664, -0.41934758, -0.10620991, 0.39361712, -0.29250818, 0.89842033, -0.05066955, -0.48825017, 0.57578444, 0.15855587, -0.27784482, -0.0246182, 0.06550325, 0.60031945, 0.48368636, 0.01805442, 0.42906064, -0.64003533"
