시드고정여부,데이터수,학습유형,데이터분할비율,단어,상위유사단어,단어벡터
O,990,학습,,탄소/Noun,"멀다/Adjective, 골재/Noun, 격리/Noun, 감용/Noun, 자발/Noun","-0.21501355, 0.26693729, -0.32793513, 0.07109815, -0.75180322, -0.80215371, 0.56544632, -0.17608576, -0.26945484, -0.55467302, 0.57860345, 0.02802632, 0.06986153, -0.05360684, -0.531066, 0.57989299, 0.28824037, 0.82747048, -0.6469382, -0.3504321, 0.04056122, 0.49567458, 0.23931411, -0.46893662, -0.13795087, 0.52483481, 0.51663458, 0.69318825, -0.51077867, 0.00476885, 0.58732378, -0.40719798, 0.04866548, -0.07508707, 0.26885834, -0.34047025, 0.75728357, -0.01293586, 0.91969186, -0.12008905, -0.35514733, 0.00880679, 0.42943549, -0.07531354, 1.00280905, 0.58573139, 0.30497193, -0.99702966, 0.62170881, -0.59860957"
O,990,학습 + 추가학습,3 대 7,탄소/Noun,"골재/Noun, 멀다/Adjective, 시너지/Noun, 방사선/Noun, 감용/Noun","0.3684375, -0.37365571, 0.02165631, -0.41454932, -0.14418234, -0.07064438, 0.25542328, -0.0935227, 0.19597712, -0.44961959, 0.31569654, -0.64828205, 0.16590478, -0.25670144, -0.27755073, 0.63370568, 0.13858724, 0.50466889, -0.83868694, -0.75319642, 0.41343173, 0.33994669, 1.01022017, -0.40046221, -0.51957673, -0.06979689, 0.75600755, 0.04447049, -0.55253035, -0.23385172, 0.8934204, -0.61850375, -0.13918574, 0.09082688, -0.03455387, -0.09575866, 0.27024886, 0.12126496, 1.03916109, 0.47451538, 0.3270379, 0.28413489, 0.7458114, 0.49184975, 1.28765869, 0.42497444, -0.09303629, -0.14569937, 0.7485525, -0.40512598"
O,990,학습 + 추가학습,4 대 6,탄소/Noun,"멀다/Adjective, 합의/Noun, 방법론/Noun, 골재/Noun, 무한/Noun","-0.04594506, 0.08700467, 0.02552806, -0.52667958, -0.23830359, -1.14825749, 0.72797686, -0.39176765, -0.07792566, -0.92688149, 0.12217036, -1.02807796, 0.06930692, -0.03037941, -0.60305947, 0.80839944, 0.06929158, 0.63434047, -0.78056735, -0.40412286, 0.03391862, 0.55328006, 1.19264448, 0.33049548, -0.0047553, 0.71153384, -0.0014327, 0.37946582, -0.30234444, -0.1085327, 0.22622947, -0.51335144, -0.60543263, -0.15384801, 0.24036689, -0.48825413, -0.0636231, -0.44858944, 0.45320907, 0.04239742, -0.02596462, -0.12421888, -0.569224, 0.08025753, 0.85588825, 0.73647863, 0.74750048, -0.1234074, 0.99413395, -0.55607486"
O,990,학습 + 추가학습 + 추가학습,5 대 2 대 3,탄소/Noun,"질화붕소/Noun, 시너지/Noun, 화합물질/Noun, 멀다/Adjective, 나노튜브/Noun","0.46494097, 0.0915155, -0.26202908, 0.07161484, -0.13141565, -0.56286711, 0.26563513, -0.08428545, -0.54322094, 0.10822154, -0.1247153, -0.11623806, 1.05523717, -0.67783225, -0.11482638, 0.59230226, -0.47137457, 0.48768961, -0.54900473, -0.26595822, 0.22147228, -0.14949194, 0.35872591, -0.19164668, 0.36716563, 0.78859168, 0.86846709, 0.07356165, -0.46536395, 0.53633285, -0.09742898, -0.60800034, -0.81933868, -0.40526161, -0.99370027, 0.88912088, 0.2424327, -0.93648171, 0.31512269, -0.39331889, 0.61171848, 0.94340068, 0.30787888, 0.01060721, 0.48442858, 0.22501303, 0.07468867, -0.44647926, 0.40682918, 0.28454718"
O,990,학습 + 추가학습 + 추가학습,5 대 3 대 2,탄소/Noun,"멀다/Adjective, 전체/Noun, 감용/Noun, 도로/Noun, 나노튜브/Noun","0.49343446, -0.13716751, -0.32246062, 0.32230502, -0.21521525, -0.67112178, 0.54141748, -0.28268084, -0.74123466, 0.27654809, 0.08780539, -0.49477085, 0.87722033, -0.9105975, -0.3739529, 0.70925403, -0.61867994, 0.55370945, -0.85037631, 0.03750695, 0.12994497, -0.18818794, 0.22946577, -0.17048892, 0.25281498, 0.92041785, 0.85444367, 0.0284271, -0.44172925, 0.6538325, 0.09598606, -0.21322495, -0.70295691, -0.27290967, -0.89351529, 0.56299585, 0.26715252, -1.26633608, 0.16265777, -0.17022096, 0.72952491, 0.65867978, 0.33804014, 0.25284362, 0.41588503, 0.50955689, 0.21050692, -0.66770756, 0.27954, 0.23942482"
O,990,학습 + 추가학습,5 대 5,탄소/Noun,"멀다/Adjective, 합의/Noun, 도로/Noun, 골재/Noun, 감용/Noun","0.66139704, 0.00211035, -0.17304371, -0.02853473, -0.10850022, -0.59219873, 0.35919762, -0.28051755, -0.72600937, 0.33794743, 0.04923457, -0.43566814, 0.91993451, -0.99968958, -0.03632234, 0.64401478, -0.48444915, 0.49842674, -0.75366437, -0.20025218, 0.21933217, 0.05047618, 0.25874531, -0.21955155, 0.26893085, 0.72705138, 0.91390473, 0.14304844, -0.29435331, 0.70771414, 0.1184262, -0.47137806, -1.00749743, -0.30831102, -0.86763448, 0.79518014, 0.4367213, -1.10621572, 0.52178961, -0.25592566, 0.41829756, 0.8964479, 0.36106959, 0.25757474, 0.56344801, 0.41643274, 0.13991857, -0.66154945, 0.3588309, 0.26876682"
O,990,학습 + 추가학습,6 대 4,탄소/Noun,"고안/Noun, 탄소지/Noun, 토양개량제/Noun, 격리/Noun, 시너지/Noun","-1.08230519, 0.36760938, -0.0358845, 0.2013227, 0.30642363, -0.5185253, 0.81741107, 0.34169614, -0.52379191, 0.16925363, -0.03823987, -0.34503487, 0.50163561, -0.1103294, -0.2306366, 0.05326838, -0.13946417, -0.41367424, -1.09856629, 0.15472001, 0.67667538, -0.30536631, 1.42787182, 0.4198505, 0.65426135, -0.58169317, 0.01033943, -0.0656619, 0.2658914, -0.47184703, -0.05027422, 0.09697155, 0.06535394, -0.67569512, 0.59016848, 0.69560796, 0.75117326, -0.12809518, -0.50955307, 0.10905448, 0.86475837, 0.15918981, 0.47677523, 0.30259937, 0.42724985, 0.95366025, -0.3580628, -0.3944357, -0.01568472, 0.66048628"
O,990,학습 + 추가학습,7 대 3,탄소/Noun,"감용/Noun, 시너지/Noun, 방사선/Noun, 제의/Noun, 토양개량제/Noun","-0.17022346, 0.24002726, -0.06354902, 0.13375144, 0.49423829, 0.11792354, 0.50787193, 0.86100262, -0.06994957, -0.3130174, 0.41670382, -0.0138341, 0.58518672, 0.39706969, -0.26350498, 0.18728562, 0.05866975, -0.05035968, -1.30521381, 0.18244691, -0.25660178, 0.32080504, 0.77940392, 0.38388669, 0.0703763, -0.16324039, 0.9387567, 0.16395909, 0.21148993, -0.49088573, -0.52147537, 0.17579223, -0.81976271, -0.35176045, 0.77772355, 0.66830075, 0.24217667, -0.01275721, -0.76768374, 0.44142443, 1.05819988, -0.70316732, -0.08181305, -0.25608253, 1.11108303, 0.88010645, 0.01418044, -0.29717478, 0.2732681, 0.53889179"
O,3320,학습,,탄소/Noun,"풀러렌/Noun, 격리/Noun, 탄소지/Noun, 원광/Noun, 상관분석/Noun","-0.16041155, 0.23855872, -0.55493844, -0.47462612, 0.34123296, 0.13563189, -0.01137527, 0.23113863, 0.41259104, 0.40133646, 0.41251954, 0.08797286, 0.40029907, -0.32512918, -0.30116737, 0.55517489, 0.41097632, 0.47776797, 0.2434772, 0.11936503, 0.79274368, -0.05132389, 0.67955542, -0.17256601, 1.05639648, 0.37161583, -0.24589659, -0.17828856, -0.26526964, -0.07686883, -1.07724631, -0.32448187, -0.25504467, -0.52509934, -0.83153874, -0.33376673, 0.10473426, 0.69523633, 0.23181695, 0.20059322, 0.49812192, -0.44599473, 0.18417273, 0.6361174, 0.63417488, 0.29861695, 0.69256771, -0.58466238, 0.10810143, 0.11120477"
O,3320,학습 + 추가학습,3 대 7,탄소/Noun,"쇄량/Noun, 펠렛형/Noun, 풀러렌/Noun, 나노튜브/Noun, 원광/Noun","-0.27596137, 0.74996388, -0.36467651, -0.06694357, -0.93959677, -0.46490133, 0.16081156, -0.09734522, 0.03853091, -0.14129539, 0.14292957, -0.25707564, 0.07982291, 0.09203587, 0.28592637, 0.89334935, 0.84317309, 0.10742577, -0.03505363, 0.12475754, 0.42302302, -0.02836561, 0.35005412, -0.15160125, 0.90852308, 1.02997983, -0.91509992, 0.01650865, 0.12914923, -0.3468686, 0.60260952, -0.2685526, 0.00738172, 0.30737466, -0.1813824, 0.44242856, 0.72069663, 0.31587636, 0.25643432, -0.64098257, -0.0371891, -0.49843055, 0.45839906, 0.23819396, 0.28628433, -0.24276812, -0.33257651, -0.31836709, 0.55934811, 0.10906003"
